# Last Updated: February 13, 2026
Peptide,Strength,Price,Vendor,Discount Code,PRC Product,Price Per mg
5 Amino 1mq,5mg,34.99,FelixChem,,No,7.00
5 Amino 1mq,20mg,40.00,AMP,Kikiriki,No,2.00
5 Amino 1mq,10mg,50.00,Instant,Kikiriki,No,5.00
5 Amino 1mq,50mg,68.00,Authentic Aminos,Kikiriki,No,1.36
Adamax,10mg,65.00,Tydes,Kikiriki,No,6.50
AOD 9604,5mg,33.00,Biopeptide,Kikiriki,No,6.60
AOD 9604,2mg,35.00,AMP,Kikiriki,No,17.50
AOD 9604,10mg,103.48,BC9,Kikiriki,No,10.35
Ara 290,10mg,35.00,AIO,Kikiriki,No,3.50
Ara 290,15mg,66.50,Biolongevity Labs,Kikiriki,No,4.43
Ara 290,16mg,103.48,BC9,Kikiriki,No,6.47
B12,10ml,24.95,Strate,Kikiriki,No,
Botulinum Toxin,200u,170.00,PRC,,Yes,
BPC 157,5mg,29.00,Biopeptide,,No,5.80
BPC 157,10mg,40.00,AMP,Kikiriki,No,4.00
BPC157/TB500,5mg/5mg,44.00,AIO,Kikiriki,No,8.80
BPC157/TB500,10mg/10mg,51.00,TruLab,Kikiriki,No,5.10
Bronchogen,20mg,48.98,Biolongevity Labs,Kikiriki,No,2.45
Cagri/Reta,12.5mg/2.5mg,120.00,EZ,,No,9.60
Cagri/Sema,5mg/5mg,102.00,Penguin,Kikiriki,No,20.40
Cagrilintide,5mg,40.00,Synagenics,Kikiriki,No,8.00
Cagrilintide,10mg,90.00,Instant,Kikiriki,No,9.00
Cardiogen,20mg,48.98,Biolongevity Labs,Kikiriki,No,2.45
Cartalax,20mg,52.00,AIO,,No,2.60
Cerebrolysin,60mg,23.00,PRC,,Yes,0.38
Cerebrolysin,60mg,39.00,Authentic Aminos,Kikiriki,No,0.65
CJC 1295 no DAC,2mg,24.00,Authentic Aminos,Kikiriki,No,12.00
CJC 1295 no DAC,5mg,30.00,Biopeptide,Kikiriki,No,6.00
CJC 1295 no DAC / Ipamorelin,5mg/5mg,34.40,AIO,Kikiriki,No,6.88
Cortagen,20mg,48.98,Biolongevity Labs,Kikiriki,No,2.45
Dermorphin,5mg,22.00,PRC,,Yes,4.40
DSIP,5mg,24.00,AIO,Kikiriki,No,4.80
DSIP,10mg,49.95,Strate,Kikiriki,No,5.00
DSIP,15mg,89.99,Biopeptide,Kikiriki,No,6.00
Epithalon,10mg,25.60,AIO,Kikiriki,No,2.56
Epithalon,50mg,129.99,Felix Chem,,No,2.60
Follistatin,10mg,559.30,Biolongevity Labs,Kikiriki,No,55.93
FOX 04 DRI,10mg,140.00,AIO,,No,14.00
GHK - CU,100mg,32.00,Synagenics,Kikiriki,No,0.32
GHK - CU,50mg,35.00,AMP,Kikiriki,No,0.70
GHRP-6,5mg,18.99,Elev8,Kikiriki,No,3.80
GLOW,70mg,55.00,Synagenics,Kikiriki,No,0.79
GLOW,80mg,79.00,RetaOne,,No,0.99
Glutathione,1500mg,40.00,Synagenics,Kikiriki,No,0.03
Glutathione,600mg,47.00,Penguin,Kikiriki,No,0.08
Glutathione,1200mg,56.00,AIO,Kikiriki,No,0.05
HCG,5000iu,39.99,Ignition,,No,
HCG,10000iu,55.00,Royal,Kikiriki,No,
Hexarelin,5mg,44.99,TCore,Kikiriki,No,9.00
Hexarelin,6mg,45.00,Tydes,Kikiriki,No,7.50
HGH 191,15iu,54.00,Penguin,Kikiriki,No,
HGH 191,36iu,107.00,Penguin,Kikiriki,No,
IGF-1 LR3,1mg,46.40,AIO,Kikiriki,No,46.40
Ipamorelin,5mg,24.00,AIO,Kikiriki,No,4.80
Ipamorelin,10mg,40.00,EZ,,No,4.00
Kisspeptin,10mg,35.20,AIO,Kikiriki,No,3.52
Kisspeptin,5mg,52.00,Penguin,Kikiriki,No,10.40
KLOTHO,10mcg,559.30,Biolongevity Labs,Kikiriki,No,55930.00
"KLOW (TB-500, BPC-157, KPV, GHK-Cu)",80mg,90.00,Royal,Kikiriki,No,1.12
KPV,10mg,32.00,Synagenics,Kikiriki,No,3.20
KPV,5mg,54.99,SportsTech,Kikiriki,No,11.00
L-Carnitine,500mg/10ml,24.99,Strate,Kikiriki,No,0.05
L-Carnitine,600mg/ml,45.00,Penguin,Kikiriki,No,0.07
L-Carnitine,500mg/20ml,51.20,AIO,Kikiriki,No,0.10
L-Carnitine,500mg/30ml,59.99,Strate,Kikiriki,No,0.12
L-Carnitine,500mg/50ml,99.99,Strate,Kikiriki,No,0.20
Laennec Ampules,1 unit,425.00,PRC,,Yes,
Lemon Bottle,1 unit,65.00,PRC,,Yes,
"Lipo B (L-Carnitine, L-Arginine, Methione, Inositol, Choline, B6, B5))",10ml,55.00,Synagenics,Kikiriki,No,
"Lipo C  (Methione, Choline, Carnitine, Dexpanrhenol)",10ml,55.00,Penguin,Kikiriki,No,
"Lipo C  (Methione, Choline, Carnitine, Dexpanrhenol)",20ml,67.20,AIO,Kikiriki,No,
"Lipo C  (Methione, Choline, Carnitine, Dexpanrhenol)",30ml,159.99,FelixChem,,No,
Lipo C Fat Blaster,20ml,42.00,PRC,,Yes,
Lipo C Fat Blaster,10ml,65.00,Royal,Kikiriki,No,
Lipo C Fat Blaster,20ml,112.00,AIO,Kikiriki,No,
Lipo C with B12,20ml,60.00,EZ,,No,
LL-37,5mg,29.00,PRC,,Yes,5.80
LL-37,5mg,36.00,AIO,Kikiriki,No,7.20
LL-37,10mg,79.00,Ascencion,Kikiriki,No,7.90
Melanotan 1,10mg,24.00,AIO,Kikiriki,No,2.40
Melanotan 2,10mg,29.00,Biopeptide,Kikiriki,No,2.90
MOTS-C,10mg,28.00,PRC,,Yes,2.80
MOTS-C,10mg,34.40,AIO,Kikiriki,No,3.44
MOTS-C,40mg,115.00,Instant,Kikiriki,No,2.88
NAD+,500mg,30.00,PRC,,Yes,0.06
NAD+,1000mg,30.00,PRC,,Yes,0.03
NAD+,250mg,35.00,Amean Peptides,Kikiriki,No,0.14
NAD+,500mg,45.00,Biopeptide,Kikiriki,No,0.09
NAD+,1000mg,99.00,EQNO,Kikiriki,No,0.10
Ovagen,20mg,79.97,Biolongevity Labs,Kikiriki,No,4.00
Oxytocin,2mg,42.00,Penguin,Kikiriki,No,21.00
Oxytocin,10mg,45.48,Biolongevity Labs,Kikiriki,No,4.55
P-21,10mg,75.00,Tydes,Kikiriki,No,7.50
Pancragen,20mg,94.97,Biolongevity Labs,Kikiriki,No,4.75
PE 22-28,10mg,30.00,PRC,,Yes,3.00
PE 22-28,10mg,49.95,Strate,Kikiriki,No,5.00
PEG-MGF,2mg,36.00,AIO,Kikiriki,No,18.00
PEG-MGF,5mg,94.97,Biolongevity Labs,Kikiriki,No,18.99
Pine Bottle,1 unit,49.50,PRC,,Yes,
Pinealon,10mg,34.99,Orbitrex,Kikiriki10,No,3.50
Pinealon,20mg,70.00,Tydes,Kikiriki,No,3.50
PNC 27,10mg,279.97,Biolongevity Labs,Kikiriki,No,28.00
Prostamax,20mg,79.97,Biolongevity Labs,Kikiriki,No,4.00
PT-141,10mg,26.00,Biopeptide,Kikiriki,No,2.60
PT-141,1 unit,36.00,PRC,,Yes,
R (GLP3),5mg,39.00,TruLab,Kikiriki,No,7.80
R (GLP3),6mg,45.00,EZ,,No,7.50
R (GLP3),10mg,48.00,RetaOne,,No,4.80
R (GLP3),20mg,55.00,PRC,,Yes,2.75
R (GLP3),20mg,63.00,Synagenics,Kikiriki,No,3.15
R (GLP3),12mg,80.00,EZ,,No,6.67
R (GLP3),15mg,102.00,TruLab,Kikiriki,No,6.80
R (GLP3),30mg,124.00,RetaOne,,No,4.13
R (GLP3),24mg,150.00,EZ,,No,6.25
R (GLP3),40mg,179.00,RetaOne,,No,4.47
R (GLP3),50mg,209.00,RetaOne,,No,4.18
R (GLP3),60mg,239.00,RetaOne,,No,3.98
R (GLP3),48mg,265.00,EZ,,No,5.52
S (GLP1),1 unit,30.00,PRC,,Yes,
S (GLP1),5mg,40.00,EZ,,No,8.00
S (GLP1),10mg,52.10,AIO,Kikiriki,No,5.21
S (GLP1),20mg,119.99,Orbitrex,Kikiriki10,No,6.00
Selank,5mg,24.99,Elev8,Kikiriki,No,5.00
Selank,11mg,30.00,Biopeptide,Kikiriki,No,2.73
Selank,5mg,36.00,PRC,,Yes,7.20
Selank,10mg,36.00,PRC,,Yes,3.60
Selank,30mg,69.99,Orbitrex,Kikiriki10,No,2.33
Semax,5mg,25.00,Synagenics,Kikiriki,No,5.00
Semax,10mg,29.99,Orbitrex,Kikiriki10,No,3.00
Semax,5mg,31.00,PRC,,Yes,6.20
Semax,30mg,69.99,Orbitrex,Kikiriki10,No,2.33
Sermorelin,5mg,32.00,AIO,Kikiriki,No,6.40
Sermorelin,5mg,38.00,PRC,,Yes,7.60
Sermorelin,10mg,67.00,Penguin,Kikiriki,No,6.70
Sleep Blend,20ml,42.00,PRC,,Yes,
SLUPP 322,5mg,49.99,Orbitrex,Kikiriki10,No,10.00
Snap 8,10mg,28.00,AIO,Kikiriki,No,2.80
Snap 8,20mg,40.00,Instant,Kikiriki,No,2.00
Super Human Blend,20ml,42.00,PRC,,Yes,
Survodutide,10mg,55.00,Synagenics,Kikiriki,No,5.50
SZ-31,10mg,42.00,Synagenics,Kikiriki,No,4.20
SZ-31,10mg,55.00,PRC,,Yes,5.50
SZ-31,30mg,90.00,AMP,Kikiriki,No,3.00
SZ-31,50mg,178.00,Authentic Aminos,Kikiriki,No,3.56
T (GLP2),20mg,44.00,PRC,,Yes,2.20
T (GLP2),30mg,46.00,PRC,,Yes,1.53
T (GLP2),10mg,49.99,Orbitrex,Kikiriki10,No,5.00
T (GLP2),5mg,55.00,TruLab,Kikiriki,No,11.00
T (GLP2),20mg,60.00,Synagenics,Kikiriki,No,3.00
T (GLP2),30mg,72.00,RetaOne,,No,2.40
T (GLP2),15mg,80.00,EZ,,No,5.33
T (GLP2),40mg,110.00,Synagenics,Kikiriki,No,2.75
T (GLP2),60mg,145.00,EZ,,No,2.42
TB500,5mg,36.99,Ignition,,No,7.40
TB500,10mg,45.00,Biopeptide,Kikiriki,No,4.50
Tesamorelin,5mg,24.99,Elev8,Kikiriki,No,5.00
Tesamorelin,10mg,45.00,Biopeptide,Kikiriki,No,4.50
Tesamorelin,20mg,105.60,AIO,Kikiriki,No,5.28
Tesamorelin/Ipamorelin,5mg/5mg,69.00,Biopeptide,Kikiriki,No,13.80
Tesamorelin/Ipamorelin,6mg/2mg,80.50,Biolongevity Labs,Kikiriki,No,13.42
Tesamorelin/Ipamorelin,10mg/3mg,105.00,EZ,Kikiriki,No,10.50
Tesofensine,500mcg,99.00,RetaOne,,No,198.00
Testagen,20mg,55.08,Biolongevity Labs,Kikiriki,No,2.75
Thioctic Acid (ALA),25mg/5ml,75.00,PRC,,Yes,3.00
Thymalin,10mg,25.00,Biopeptide,Kikiriki,No,2.50
Thymalin,10mg,37.00,PRC,,Yes,3.70
Thymosin Alpha,15mg,44.00,AIO,Kikiriki,No,2.93
Thymosin Alpha,5mg,45.00,AMP,Kikiriki,No,9.00
Thymosin Alpha,10mg,62.00,Ascencion,Kikiriki,No,6.20
VIP,5mg,48.00,Authentic Aminos,Kikiriki,No,9.60
VIP,10mg,60.00,Instant,Kikiriki,No,6.00
Vitamin C,10mg/20ml,75.00,PRC,,Yes,7.50
